state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
36.0,114000,67,7638000,985000,1.14,8707000,2002
40.0,49000,52,2548000,1605000,1.24,3160000,2006
41.0,84000,90,7560000,4385000,0.68,5141000,2000
35.0,7000,65,455000,114000,1.99,905000,2007
1.0,53000,65,3445000,1688000,0.59,2033000,1998
22.0,14000,62,868000,95000,2.83,2456000,2011
21.0,145000,52,7540000,2413000,1.95,14703000,2012
8.0,25000,62,1550000,961000,1.96,3038000,2011
23.0,300000,115,34500000,13800000,0.57,19665000,2000
39.0,5000,49,245000,69000,2.01,492000,2009
8.0,28000,88,2464000,1232000,1.21,2981000,2005
13.0,5000,56,280000,70000,2.19,613000,2006
12.0,13000,51,663000,530000,0.96,636000,2001
32.0,23000,48,1104000,276000,1.65,1822000,2008
35.0,7000,55,385000,58000,1.84,708000,2006
16.0,4000,34,136000,24000,2.39,325000,2012
0.0,17000,68,1156000,185000,0.56,647000,1999
11.0,7000,67,469000,150000,1.68,788000,2008
3.0,330000,35,11550000,3119000,1.94,22407000,2012
5.0,232000,105,24360000,2923000,0.54,13154000,2000
32.0,29000,57,1653000,827000,1.34,2215000,2002
24.0,58000,77,4466000,1965000,0.61,2724000,1999
31.0,42000,51,2142000,964000,1.27,2720000,2003
25.0,13000,35,455000,73000,1.9,865000,2010
19.0,23000,75,1725000,362000,0.6,1035000,2000
4.0,25000,48,1200000,468000,2.07,2484000,2012
7.0,7000,114,798000,43000,1.45,1157000,2003
7.0,10000,90,900000,225000,1.59,1431000,2008
37.0,28000,48,1344000,242000,1.57,2110000,2008
40.0,62000,44,2728000,1064000,1.58,4310000,2009
20.0,18000,78,1404000,281000,1.23,1727000,2002
14.0,36000,80,2880000,288000,1.5,4320000,2010
22.0,9000,40,360000,72000,1.93,695000,2004
9.0,100000,46,4600000,1380000,1.33,6118000,2003
19.0,11000,47,517000,57000,1.99,1029000,2009
8.0,40000,65,2600000,2028000,0.65,1690000,1999
29.0,18000,78,1404000,702000,0.83,1165000,1998
12.0,14000,55,770000,246000,1.17,901000,2006
29.0,15000,66,990000,228000,2.34,2317000,2011
17.0,73000,85,6205000,3475000,0.66,4095000,1999
40.0,52000,54,2808000,1151000,0.58,1629000,2000
41.0,70000,95,6650000,2461000,1.34,8911000,2002
37.0,25000,38,950000,209000,1.87,1777000,2012
42.0,6000,42,252000,68000,2.02,509000,2006
13.0,5000,67,335000,67000,2.72,911000,2010
7.0,8000,96,768000,77000,1.59,1221000,2004
39.0,6000,66,396000,222000,0.63,249000,1999
29.0,18000,81,1458000,569000,1.01,1473000,2001
9.0,92000,41,3772000,1848000,1.15,4338000,2007
